Datetime,close
2024-08-01 00:00:00+00:00,64650.5859375
2024-08-01 01:00:00+00:00,64153.0234375
2024-08-01 02:00:00+00:00,64074.24609375
2024-08-01 03:00:00+00:00,63908.421875
2024-08-01 04:00:00+00:00,63705.19140625
2024-08-01 05:00:00+00:00,64296.25390625
2024-08-01 06:00:00+00:00,64226.39453125
2024-08-01 07:00:00+00:00,64300.62109375
2024-08-01 08:00:00+00:00,64479.0546875
2024-08-01 09:00:00+00:00,64450.421875
2024-08-01 10:00:00+00:00,64564.3203125
2024-08-01 11:00:00+00:00,64630.76953125
2024-08-01 12:00:00+00:00,64863.390625
2024-08-01 13:00:00+00:00,64725.56640625
2024-08-01 14:00:00+00:00,63975.05859375
2024-08-01 15:00:00+00:00,63003.41015625
2024-08-01 16:00:00+00:00,62868.734375
2024-08-01 17:00:00+00:00,63148.12890625
2024-08-01 18:00:00+00:00,62868.78125
2024-08-01 19:00:00+00:00,63345.38671875
2024-08-01 20:00:00+00:00,64605.1953125
2024-08-01 21:00:00+00:00,64848.1328125
2024-08-01 22:00:00+00:00,65142.09375
2024-08-01 23:00:00+00:00,65353.5
2024-08-02 00:00:00+00:00,64911.06640625
2024-08-02 01:00:00+00:00,64669.39453125
2024-08-02 02:00:00+00:00,64275.7890625
2024-08-02 03:00:00+00:00,64540.88671875
2024-08-02 04:00:00+00:00,64447.42578125
2024-08-02 05:00:00+00:00,64107.20703125
2024-08-02 06:00:00+00:00,64429.67578125
2024-08-02 07:00:00+00:00,64149.44140625
2024-08-02 08:00:00+00:00,64476.21875
2024-08-02 09:00:00+00:00,64460.08984375
2024-08-02 10:00:00+00:00,64686.7734375
2024-08-02 11:00:00+00:00,64606.53515625
2024-08-02 12:00:00+00:00,64750.390625
2024-08-02 13:00:00+00:00,65189.34375
2024-08-02 14:00:00+00:00,63206.56640625
2024-08-02 15:00:00+00:00,63560.1953125
2024-08-02 16:00:00+00:00,63275.60546875
2024-08-02 17:00:00+00:00,63049.6796875
2024-08-02 18:00:00+00:00,62853.4296875
2024-08-02 19:00:00+00:00,62631.4921875
2024-08-02 20:00:00+00:00,62585.78125
2024-08-02 21:00:00+00:00,62033.05859375
2024-08-02 22:00:00+00:00,61195.23046875
2024-08-02 23:00:00+00:00,61414.80859375
2024-08-03 00:00:00+00:00,61023.73046875
2024-08-03 01:00:00+00:00,61251.20703125
2024-08-03 02:00:00+00:00,61378.33203125
2024-08-03 03:00:00+00:00,61814.3359375
2024-08-03 04:00:00+00:00,61498.89453125
2024-08-03 05:00:00+00:00,61634.8046875
2024-08-03 06:00:00+00:00,61757.8359375
2024-08-03 07:00:00+00:00,61639.07421875
2024-08-03 08:00:00+00:00,61562.328125
2024-08-03 09:00:00+00:00,61682.59375
2024-08-03 10:00:00+00:00,61784.98046875
2024-08-03 11:00:00+00:00,61861.44921875
2024-08-03 12:00:00+00:00,61943.09375
2024-08-03 13:00:00+00:00,61951.609375
2024-08-03 14:00:00+00:00,61964.3984375
2024-08-03 15:00:00+00:00,60856.28125
2024-08-03 16:00:00+00:00,60906.3515625
2024-08-03 17:00:00+00:00,60479.65234375
2024-08-03 18:00:00+00:00,60212.77734375
2024-08-03 19:00:00+00:00,60235.23046875
2024-08-03 20:00:00+00:00,60313.79296875
2024-08-03 21:00:00+00:00,60616.49609375
2024-08-03 22:00:00+00:00,60601.18359375
2024-08-03 23:00:00+00:00,60676.09375
2024-08-04 00:00:00+00:00,60701.265625
2024-08-04 01:00:00+00:00,60709.37890625
2024-08-04 02:00:00+00:00,60828.3359375
2024-08-04 03:00:00+00:00,60704.04296875
2024-08-04 04:00:00+00:00,60522.94140625
2024-08-04 05:00:00+00:00,60748.609375
2024-08-04 06:00:00+00:00,60790.140625
2024-08-04 07:00:00+00:00,60314.13671875
2024-08-04 08:00:00+00:00,60531.60546875
2024-08-04 09:00:00+00:00,60684.91796875
2024-08-04 10:00:00+00:00,60754.2265625
2024-08-04 11:00:00+00:00,60855.28515625
2024-08-04 12:00:00+00:00,61040.34765625
2024-08-04 13:00:00+00:00,60872.671875
2024-08-04 14:00:00+00:00,59640.09765625
2024-08-04 15:00:00+00:00,58968.984375
2024-08-04 16:00:00+00:00,58633.6328125
2024-08-04 17:00:00+00:00,57864.578125
2024-08-04 18:00:00+00:00,58711.359375
2024-08-04 19:00:00+00:00,59314.1953125
2024-08-04 20:00:00+00:00,59149.53125
2024-08-04 21:00:00+00:00,58462.41796875
2024-08-04 22:00:00+00:00,58661.640625
2024-08-04 23:00:00+00:00,58110.296875
2024-08-05 00:00:00+00:00,56036.671875
2024-08-05 01:00:00+00:00,54691.21484375
2024-08-05 02:00:00+00:00,54657.3359375
2024-08-05 03:00:00+00:00,54056.43359375
2024-08-05 04:00:00+00:00,53615.59375
2024-08-05 05:00:00+00:00,52753.21484375
2024-08-05 06:00:00+00:00,51460.3671875
2024-08-05 07:00:00+00:00,52740.9140625
2024-08-05 08:00:00+00:00,52760.20703125
2024-08-05 09:00:00+00:00,52449.5546875
2024-08-05 10:00:00+00:00,51367.140625
2024-08-05 11:00:00+00:00,51435.578125
2024-08-05 12:00:00+00:00,49842.5234375
2024-08-05 13:00:00+00:00,51981.109375
2024-08-05 14:00:00+00:00,54065.2578125
2024-08-05 15:00:00+00:00,54280.30078125
2024-08-05 16:00:00+00:00,54134.64453125
2024-08-05 17:00:00+00:00,54733.25390625
2024-08-05 18:00:00+00:00,53258.2421875
2024-08-05 19:00:00+00:00,53406.13671875
2024-08-05 20:00:00+00:00,54140.92578125
2024-08-05 21:00:00+00:00,54441.421875
2024-08-05 22:00:00+00:00,54640.80078125
2024-08-05 23:00:00+00:00,53991.34765625
2024-08-06 00:00:00+00:00,55851.69140625
2024-08-06 01:00:00+00:00,55819.41015625
2024-08-06 02:00:00+00:00,55910.17578125
2024-08-06 03:00:00+00:00,55693.62109375
2024-08-06 04:00:00+00:00,55515.16796875
2024-08-06 05:00:00+00:00,55948.40625
2024-08-06 06:00:00+00:00,55825.83203125
2024-08-06 07:00:00+00:00,56125.76171875
2024-08-06 08:00:00+00:00,55141.87109375
2024-08-06 09:00:00+00:00,55262.328125
2024-08-06 10:00:00+00:00,55041.5546875
2024-08-06 11:00:00+00:00,55258.25390625
2024-08-06 12:00:00+00:00,54852.5234375
2024-08-06 13:00:00+00:00,55275.77734375
2024-08-06 14:00:00+00:00,56100.6484375
2024-08-06 15:00:00+00:00,56371.8125
2024-08-06 16:00:00+00:00,56855.76171875
2024-08-06 17:00:00+00:00,56594.1875
2024-08-06 18:00:00+00:00,56787.8125
2024-08-06 19:00:00+00:00,56796.2578125
2024-08-06 20:00:00+00:00,56556.00390625
2024-08-06 21:00:00+00:00,56443.25
2024-08-06 22:00:00+00:00,56208.1015625
2024-08-06 23:00:00+00:00,56040.6328125
2024-08-07 00:00:00+00:00,56298.58203125
2024-08-07 01:00:00+00:00,56962.37890625
2024-08-07 02:00:00+00:00,56766.86328125
2024-08-07 03:00:00+00:00,56914.40625
2024-08-07 04:00:00+00:00,57110.77734375
2024-08-07 05:00:00+00:00,56849.0859375
2024-08-07 06:00:00+00:00,56834.1875
2024-08-07 07:00:00+00:00,56953.07421875
2024-08-07 08:00:00+00:00,57363.70703125
2024-08-07 09:00:00+00:00,57379.94140625
2024-08-07 10:00:00+00:00,57387.61328125
2024-08-07 11:00:00+00:00,57014.78515625
2024-08-07 12:00:00+00:00,57320.15625
2024-08-07 13:00:00+00:00,56792.40625
2024-08-07 14:00:00+00:00,56204.9921875
2024-08-07 15:00:00+00:00,56098.8046875
2024-08-07 16:00:00+00:00,56166.625
2024-08-07 17:00:00+00:00,55528.93359375
2024-08-07 18:00:00+00:00,54804.171875
2024-08-07 19:00:00+00:00,54799.23046875
2024-08-07 20:00:00+00:00,55011.75
2024-08-07 21:00:00+00:00,55425.80078125
2024-08-07 22:00:00+00:00,55285.26171875
2024-08-07 23:00:00+00:00,55030.02734375
